Match_Id,Player_Id,Player_team,Opposit_Team,Player_Captain,Opposit_captain,Player_keeper,Opposit_keeper
1082601,427,Kings XI Punjab,Kolkata Knight Riders,GJ Maxwell,G Gambhir,WP Saha,RV Uthappa
1082601,458,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,478,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082601,479,Kolkata Knight Riders,Kings XI Punjab,G Gambhir,GJ Maxwell,RV Uthappa,WP Saha
1082602,8,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,17,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,50,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,57,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,110,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,162,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,221,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,236,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,237,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,255,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,270,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,322,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,375,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,377,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,382,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,400,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,403,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,407,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,413,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,431,Mumbai Indians,Royal Challengers Bangalore,RG Sharma,V Kohli,PA Patel,KM Jadhav
1082602,452,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082602,495,Royal Challengers Bangalore,Mumbai Indians,V Kohli,RG Sharma,KM Jadhav,PA Patel
1082603,2,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
1082603,14,Gujarat Lions,Rising Pune Supergiants,SK Raina,SPD Smith,KD Karthik,MS Dhoni
